TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-140393,,Validations to prevent modifications and deletions of joint bank accounts across persons,CEF,Dynamic Evidence,Dynamic Evidence,,"*Issue Description:*
With Participant Evidence Management (PEM) turned on, it shouldn?t be possible to modify or delete a joint bank account if another participant sharing that same joint account already has a pending update or pending delete on the same bank account.

*User Interface Impact:* No

*Prerequisites:*

# Log in as a system administrator.
# Click Properties under Application Data in the shortcuts panel.
# Search for the property ?curam.pec.enabled?.
# Use the row-level action to update the property?s value to ?YES?.
# Use the page-level action to publish the change.

*Steps to Reproduce:* 

# Log in as a caseworker.
# Register two new persons (Person 1 and Person 2).
# Add Bank Account evidence to Person 1 with details:
## Account Name: Acme Bank Account
## Account Number: 12345678
## Sort Code: 90-14-87
## From: 01/01/2025
## Joint Account indicator: true
# Apply changes.
# Add the same Bank Account evidence to Person 2.
# Apply changes.
# Modify the Bank Account evidence on Person 1, updating the Name to ?Acme Bank Account Name Update?
# Modify the Bank Account evidence on Person 2, updating the Name to ?Test Update?.
# Apply changes.
# Issue: The system allowed the changes to be activated. The system should prevent the changes from being activated in the instance where the shared bank account has a pending update or pending deletion on another participant sharing the same bank account.

*Resolution:*
This issue is now resolved. New validations have been added to the system to prevent the activation of an update or a delete on a shared bank account if that same bank account already has a pending update or pending deletion on another participant. If the bank account in question already has a pending update on another participant, the following validation is presented to the caseworker, ?Bank account details cannot be modified because it is a shared bank account with pending updates for other participants. Please resolve these outstanding updates before proceeding'. If the bank account has a pending deletion on another participant, the following validation is presented to the caseworker, ?Bank account details cannot be deleted because it is a shared bank account with pending updates for other participants. Please resolve these outstanding updates before proceeding?.

"
SPM-140352,DT037185,Duplicate bank account incorrectly allowed for the same person or across multiple people,ENT,Dynamic Evidence,Dynamic Evidence,,"*Issue Description:*
It is possible to enter duplicate bank account details on the system, not only for a person, but also across people.

*User Interface Impact:* No

*Steps to Reproduce:*

*Scenario 1 (at the person level)*

# Register a new Person.
# Click the Evidence tab.
# Add Bank Account evidence, ensuring that the Joint Account indicator is set to ?false?.
# Now re-add exactly the same bank account.
# Issue: The system allows the second bank account to be added.

*Scenario 2 (across people)*

# Register a new Person (Person 1).
# Click the Evidence tab.
# Add Bank Account evidence, ensuring that the Joint Account indicator is set to ?false?.
# Register another person (Person 2).
# Add the same bank account details to Person 2.
# Issue: The system allows the second bank account to be added.

*Resolution:*
Validations have been added to prevent duplicate bank accounts from being added to the system. To prevent duplicate bank accounts for the same person when creating or modifying a bank account, the following validation is now displayed - ?A bank account already exists for this client with this account number at the selected bank.? To prevent the same bank account number from being used by multiple persons within the same bank branch, the system displays the following validation - ?An account exists in this branch with this account number.?

*Technical:*
PDCBankAccountValidationRuleSet.xml has been updated to include the following (existing) attribute check as part of preCreateValidations and preModifyValidations:

* bankAccountAlreadyExistsValidation

The following message update has been made inside PDCBankAccountValidationRuleSet.properties

* ERR&#95;BANKACCOUNT&#95;ACCOUNTEXISTS&#95;DUPLICATE=An account exists in this branch with this account number.

has been updated to the following:

* ERR&#95;BANKACCOUNT&#95;ACCOUNTEXISTS&#95;DUPLICATE=A bank account already exists for this client with this account number at the selected bank.

"
SPM-140350,,Evidence types marked as required in a Dashboard Group are not displaying a mandatory indicator in the Evidence Dashboard,Accessibility,,,,"*Issue Description:*
Evidence types marked as required in a Dashboard Group are not displaying a mandatory indicator in the Evidence Dashboard.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as an administrator.
# Click Integrated Cases under Cases in the shortcuts panel.
# Select an Integrated Case type.
# Navigate to the Dashboard Group page in the Evidence tab.
# Create several Dashboard Groups and configure at least one required evidence type.
# Log out and log in as a caseworker.
# Register a person and create an Integrated Case for which the Dashboard Groups were configured.
# On the Integrated Case, navigate to the Dashboard page in the Evidence tab.
# Navigate to the Display Evidence group drop-down field and select a group where a required evidence type is present.
# Issue: No mandatory indicator is displayed beside the required Evidence Types.

*Resolution:*
In the Evidence Dashboard, evidence types marked as required in a Dashboard Group display a mandatory indicator and are announced as being required by screen readers.

"
SPM-140090,DT037228,"Unable to apply changes for a person with a bank account whose account status is 'Closed' ",ENT,Dynamic Evidence,Dynamic Evidence,,"*Issue Description:*
A validation error is thrown when attempting to update a bank account?s status to ?Closed?. When applying changes, the following validation message is presented to the user: ?You cannot modify a bank account when the bank account status is closed.?

*User Interface Impact:* No

*Prerequisites:*

# Log in as a system administrator.
# Select Property Administration under Application Data in the shortcuts panel.
# Search for the property ?curam.pec.enabled?.
# Use the row-level action to update the property value to ?YES?.
# Now, search for the property ?curam.miscapp.evidenceCalloutsEnabled?.
# If not already set to ?YES?, use the row-level action to update this property to ?YES?.
# Publish the changes.

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a new person.
# From the Evidence Dashboard, add a bank account.
# Activate the evidence.
# Modify the bank account and set its status to ?Closed?.
# Apply changes.
# Issue: The following validation error is displayed: ?You cannot modify a bank account when the bank account status is closed.?

*Resolution:*
This issue has been resolved. It is now possible to apply changes when modifying a bank account?s status to ?Closed?.

"
SPM-140024,,Secure wrapper classes added for all supported XML parsers to enforce protections against XXE vulnerabilities,ENT,Technical Services,Server Development Environment,,"*Issue Description:*
With our enhanced security posture, Cúram offers extra secure wrappers for all supported XML parsers in the security-inf package to protect against XXE vulnerabilities.  Using the 7 secure wrapper classes provided in 8.2 ensures that important security restrictions are enforced by default. 

Below is the list of supported Parser Types and their Secure Wrapper Classes.

*Parser Type: Secure Wrapper Class*

* DocumentBuilderFactory: curam.security.parsers.SecureDocumentBuilderFactory
* XMLReader: curam.security.parsers.SecureXMLReader
* SAXReader (dom4j): curam.security.parsers.SecureSAXBuilder
* TransformerFactory: curam.security.parsers.SecureTransformerFactory
* SchemaFactory: curam.security.parsers.SecureSchemaFactory
* SAXParserFactory: curam.security.parsers.SecureSAXParserFactory
* DOMParser (Xerces): curam.security.parsers.SecureDOMParser

For further technical details, please consult the _Curam Security Handbook 8.2_. 


"
SPM-139950,,Update the version of Tomcat supported in the Cúram Development Environment,Third Party Updates,,,,"The version of Apache Tomcat certified for usage in the Cúram Development Environment has been updated from 9.0.50 to 9.0.99.

"
SPM-139919,DT037222,"Cancelled bank account for External Party incorrectly considered when attempting to re-add identical bank account details for the same External Party ",CEF,Business Services,Participant Management,,"*Issue Description:*
A cancelled bank account is being incorrectly considered when re-adding the same bank account to an External Party.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Register an External Party.
# On the External Party home page, click the Financial tab and select Bank Accounts.
# Use the New page-level action to add a bank account.
# On the Bank Accounts list page, use the Delete row-level action to cancel the bank account added in the previous step.
# Again, using the New page-level action, re-add a bank account with the same details as in Step 4.
# Issue: The following validation is incorrectly thrown, ?A bank account already exists for this client with this account number at the selected bank'.

*Resolution:*
This issue has been addressed and now it is possible to re-add a bank account to an External Party if a bank account with the same details was previously cancelled for that same External Party.

"
SPM-139885,DT037223,Application tab details not properly updated when selected language is changed by user,CEF,,,,"*Issue Description:*
When a user selects a new language from the Language modal window, the application reloads, and the previously opened tabs are restored, but not all tab titles are reloaded with the latest chosen language. Additionally, some interface elements have untranslated ARIA labels, causing screen reader users to hear a mix of English and the selected language.

*User Interface Impact:* No

*Prerequisites:*

# Log in as a system administrator. 
# Select Property Administration under Application Data in the shortcuts panel.
# Search for the ?curam.environment.app.menu.locale.toggle.enabled? property.
# Set the value to 'true'.
# Publish the changes.

*Steps to Reproduce:*

*Scenario 1:*

# Log in as a caseworker.
# Register a new Person.
# Open several tabs in the application.
# From the user menu in the application banner, select the language option to open the Select Language modal window.
# Choose a new language and select Save.
# Issue: When the application reloads and the tabs are restored, the active tab title displays in the newly selected language. However, the titles of the other tabs remain in the previously selected language and are only updated to the latest language when they are selected by the user.

*Scenario 2:* 

# Enable a screen reader. 
# Log in as a caseworker.
# Navigate to the Inbox tab.
# Create a new task, complete all required fields, and assign it to a Work Queue the caseworker is subscribed to.
# Click Save.
# From the shortcuts menu, expand the Work Queues section and select My Work Queues.
# On the User Subscribed Work Queues tab, click View Tasks.
# Open the task created in Step 4.
# From the user menu in the application banner, select the language option to open the Select Language modal.
# Choose a new language and select Save.
# Issue: After the application reloads and restores the open tabs, the title of the current tab is correctly announced in the selected language by the screen reader. However, some interface elements continue to be announced in English. 

*Resolution:*
When a user selects a new language from the Language modal, the application reloads and all tab titles are restored in the newly selected language. Additionally, screen readers now announce all interface elements using the updated language.

"
SPM-139838,,"Introduce support for Windows 11 as a development platform for Cúram ",Third Party Updates,,,,"Support for the Microsoft® Windows® 11 platform for the designing, developing, testing, and building of the Cúram application has been added. Support for this new version has also been added retrospectively for the Cúram 8.1.2.0 and 8.1.3.0 releases.

"
SPM-139760,,The Evidence Dashboard group listbox does not provide a visual indication of the currently selected option,Accessibility,,,,"*Issue Description:*
When an option in the Evidence Dashboard's Display Evidence Group drop-down menu is selected, no visual indicator is displayed in the menu to indicate the currently selected option.

*User Interface Impact:* No

*Prerequisites:*

# Log in as an administrator.
# Click Integrated Cases below Cases in the shortcuts panel.
# Select an Integrated Case type.
# Navigate to the Dashboard Group page in the Evidence tab.
# Create several Dashboard Groups.
# Log out

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a person and create an Integrated Case for which the Dashboard Groups were configured.
# On the Integrated Case, navigate to the Dashboard page in the Evidence tab.
# Navigate to the Display Evidence group drop-down field.
# Open the drop-down and select an option.
# Issue: No visual indicator is displayed in the menu indicating the currently selected option.

*Resolution:*
The current selected option is now visually indicated in the drop-down menu for the Evidence Dashboard's Display Evidence Group drop-down field.

"
SPM-139712,DT037215,Bank Account cannot be modified (e.g. closed) once a payment is generated for client,CEF,Dynamic Evidence,Dynamic Evidence,,"*Issue Description:*
A bank account cannot be modified (e.g. closed) once a payment has been generated for a client into that bank account. It should be possible to modify certain fields even after the bank account has been used for payments.

*Related WorkItem:* SPM-115615

*User Interface Impact:* No

*Steps to Reproduce (Generic):*

# Log in as a caseworker.
# Register a new Person.
# Add Bank Account evidence for the person.
# Click the Care and Protection tab.
# Use the New Case page-level action to create an integrated case for the person.
# Add the necessary evidence to make the client eligible.
# Apply evidence.
# Create an associated product delivery, ?Weekly by EFT in advance on a Monday?.
## If necessary, add a certification to the product delivery.
# Submit, approve and activate the product delivery.
# Log in as as system administrator.
# Click Processes below Batch in the shortcuts panel.
## Execute the Generate Instruction Line Items and Generate Instruments batch processes.
# Run the batch processes using the batch launcher.
# Log in as a caseworker.
# Navigate back to the product delivery?s Financials tab.
## A payment should be visible here.
# Navigate back to person home page and click the Evidence tab.
# Edit the bank account evidence created earlier.
## Example: Check the Joint Account indicator, update the Account Status from ?Open? to ?Closed?, update the Account Name, set the To date, update the Preferred indicator.
# Click Save.
# Issue: The following validation message is thrown, ?A payment has been issued to this bank account therefore the modification cannot be applied. A new bank account should be created.'.

*Resolution:*
This issue has been resolved and it is now possible to update the following fields on a bank account when a payment has been received into that bank account:

* Joint Account indicator (setting it to true)
* Account Name
* Account Status
* To date
* Preferred indicator

"
SPM-139568,DT037101,Internal error codes returned from the REST Infrastructure are not documented,CEF,Application Development Environment,Rest,,"*Issue Description:*
The 'Code' attribute of the failure response message body is used for both standard HTTP response codes and internal Cúram error codes.
Consumer applications normally expect HTTP response codes and do not know how to handle internal error codes.

*User Interface Impact:* No

*Steps to Reproduce:*
Make a Rest invocation using an incorrectly formatted date, for example, send the following message with an incorrectly formatted 'endDate'

 

{noformat} {
  """"specialCautionType"""": { """"tableName"""" : """"SpecialCautionType"""", """"value"""" : """"SCSC12"""", """"description"""" : """"Escape Threat"""", """"parentCodeTable"""" : """"SpecialCautionCategory"""" },
  """"specialCautionCategory"""": { """"tableName"""" : """"SpecialCautionCategory"""", """"value"""" : """"SCC03"""", """"description"""" : """"Behavioral Alert"""" },
  """"special&#95caution&#95id"""": """"100"""",
  """"versionNo"""": 0,
  """"startDate"""": """"2021-03-18"""",
  """"endDate""""  : """"202-03-20"""",
  """"Comments"""" : """"test comments"""",
  """"concern&#95role&#95id"""": """"101""""
  }  to the Rest path, E.g:  https://10.0.0.229:10101/Rest/v1/persons/101/special&#95cautions{noformat}

*Issue:* The resulting error message will contain internal code -150212 to indicate that 'endDate' could not be decoded:

{noformat}{
  """"code"""" : -150212,
  """"field"""" : """"endDate"""",
  """"message"""" : """"There was an issue while parsing a 'endDate' attribute, which contains a value of '202-03-20': This is not in the supported ISO-8601 date format, e.g. yyyy-MM-dd."""",
  """"level"""" : """"error""""
  }{noformat}

*Resolution:*
All negative values for the 'code' fields can be interpreted as ?HTTP 400 The data request is invalid?.?If needed, the full set of internal code values and their associated message can be obtained from the following property files:

* EJBServer/components/Rest/rest/properties/RestErrorMessages.properties
* CuramCDEJ/doc/defaultproperties/curam/omega3/i18n/RuntimeMessages.properties

"
SPM-139531,DT037217,Issue with Dynamically Generated SQL,CEF,Integrated Case Management,Eligibility & Entitlement,Infrastructure,"*Issue Description:*
In the SQL queries which are generated dynamically for accessing evidence during rules calculations, each column is qualified with its containing table name, which is unnecessary, and each query includes an ORDER BY clause, which is not always necessary.

*User Interface Impact:* No.

*Steps to Reproduce:*

# Log in as a system administrator.
# Enable SQL tracing for the application by setting the application property 'curam.trace.sql' to 'True'.
# Publish the property changes.
# Log in as a caseworker.
# Register a new Person.
# Add an integrated case for the person.
# Add the necessary evidence to make the person eligible.
# Activate the evidence.
# Create a product delivery for the person.
# Issue: see details below:

The server log file will contain queries like the following:

?SELECT CASEHEADER.APPEALINDICATOR , CASEHEADER.CASEID ,..., CASEHEADER.VERSIONNO FROM CASEHEADER WHERE CASEID= 12345678 ORDER BY CASEID WITH CS?

It is not necessary to qualify each field with the table name 'CASEHEADER' because CASEHEADER is the only table referenced by the query.
It is not necessary to specify 'ORDER BY CASEID' because CASEID is the primary key, so the query can return a maximum of one record.
This increases the communication and processing workload of the database.

*Resolution:*
Dynamically generated SQL queries no longer qualify each attribute name and, when the search clause is the primary key, do not specify an ORDER BY clause.
The query in the above example would now look like the following:

 ?SELECT APPEALINDICATOR, CASEID,..., VERSIONNO FROM CASEHEADER WHERE CASEID= 12345678?

"
SPM-139236,,Focus is not visible when the user navigates to the employer search results link,Accessibility,,,,"*Issue Description:*
The focus is not visible when keyboard users navigate to the Employer link on employer search results. 

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Navigate to Employer under the Searches section in the shortcuts panel.
# Search for an existing employer using search criteria such as the Trading Name. 
# Use the Tab key to navigate to an Employer link in the search results.
# Issue: The focus indicator on the Employer link is not visible.

*Resolution:*
The focus is now visible on the Employer link when navigating employer search results.

"
SPM-139154,,Introduce support for Db2 12.1,Third Party Updates,,,,"Db2 12.1 support is now introduced. See the associated database prerequisites for this version of the product for further details of this support.

As a result of the introduction of this support, the following driver and other related files have been updated in the Java Development Environment (JDE) deliverable.

* CuramSDEJdriversdb2jcc4.jar - the version has been updated from 4.28.11 to 4.34.30.
* CuramSDEJdriverssqlj4.zip.zip - this file has been updated to the Db2 12.1 version.

"
SPM-139088,DT037190,Cúram Citizen Engagement - System messages are not displayed for non linked users,CEF,Universal Access,,,"*Issue Description:*
In the Cúram Citizen Engagement portal, system messages are not displayed for logged in non-linked users. Non-linked users are those users who are not yet linked to a person or prospect person in the Cúram backend. The system messages are only being displayed for logged in linked users.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as an administrator.
# Click System Messages under Universal Access in the shortcuts panel.
# Add a new system message with visibility set to ?Logged-in users? or ?Public and logged-in users?.
# Publish the changes.
# Access the Citizen Engagement web application.
# Sign up for a new user account.
# Log in to the new user account.
# Issue: The system message created in step 3 is not displayed in the communication banner on the user?s dashboard.

*Resolution:*
The issue has been resolved and now system messages where the visibility field is set to ?Logged-in users? or ?Public and logged-in users? are displayed in the communication banner within the Citizen Engagement portal for all logged-in users whether their account is linked or not linked to a person/prospect person in the Cúram backend.

"
SPM-138914,,Introduce support for JAWS 2025 and Microsoft Edge,Third Party Updates,,,,"The version of Freedom Scientific JAWS that has been certified for usage for accessibility purposes is now updated to JAWS 2025. The new version is certified against Microsoft Edge. 

"
SPM-138815,DT037177,Advanced Life Event and AES pull workflow error,CEF,Life Event Management,,,"*Issue Description:*
When a client launches a life event for the first time, a holding case is created, and the AES pull workflow is initiated to pull evidence onto the holding case. This workflow throws an exception in the background, preventing the sharing of evidence.

*User Interface Impact:* No

*Prerequisites:*

# Ensure that logically equivalent evidence sharing is configured between the Insurance Affordability integrated case (Income) and the Holding Case (Holding Case evidence type ? ET10000), with Trusted Source set to ?Yes?.
# The necessary configurations must be in place to support the Advanced Life Event.

*Steps to Reproduce:*

# Log in as an Insurance Affordability caseworker.
# Register a new Person.
# Submit an Insurance Affordability application for the person.
# Authorize the application to create the Insurance Affordability integrated case.
# On the Citizen Portal, create an external account for the person.
# Log in to the Citizen Portal.
# Start the life event to capture the person's income.
# Issue: Income evidence added to the Insurance Affordability integrated case is not shared to the Holding Case and doesn?t populate in the life event. This is due to an exception occurring as part of the AES pull workflow.

*Resolution:*
This issue is now resolved, and the income evidence details will be displayed in the life event.

"
SPM-138796,DT037174,Generic aria labels used to clear a selected field or open a drop-down menu,Accessibility,,,,"*Issue Description:*
In Cúram, labels used to clear a selected field or open a drop-down menu have the same generic text specified, which lacks context for the associated field. This makes it difficult for screen reader users to distinguish which field the label relates to. 

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Click the Cases and Outcomes section.
# Click Person under Registration in the shortcuts panel.
# Click the Next button on the search page.
# Hover on any of the drop-down arrow buttons on the page.
# Issue: All the drop-downs show the same label 'Open Menu' in the tooltip.

*Resolution:*
The field label has been added to the hover message, for example, 'Open Gender list', making it easier for screen reader users to distinguish between the labels and the associated fields.

"
SPM-138668,DT037172,List tables with action menus missing visible column header (actions) for the column that shows action menus,Accessibility,,,,"*Issue Description:*
In Cúram, list tables with action menus are missing a visible column header labelled ?Actions? for the column that shows the action menus. The column header text is present but visually hidden using CSS.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a new Person.
# Navigate to the Evidence tab and view the Evidence list.
# Observe the last column, which contains action menus.
# Issue: The last column, which contains action menus, is missing a visible table header.

*Resolution:*
The hidden CSS class has been removed from the ?Actions? column header, making it visible in the Cúram application.

"
SPM-138534,DT037157,Submission of a life event fails in a development environment,CEF,Life Event Management,,,"*Issue Description:*
Submission of a life event fails in a development environment.

*User Interface Impact:* No

*Prerequisites:*

# Ensure that logically equivalent evidence sharing is configured between the Holding Case (holding case evidence type - ET10000) and the Insurance Affordability integrated case (Income), with Trusted Source set to ?Yes?.
# The necessary configurations need to be in place to support the Advanced Life Event.

*Steps to Reproduce:*

# Start the server in Eclipse.
# Log in as an Insurance Affordability caseworker using the RMILoginClient utility.
# Register a new Person.
# Submit an Insurance Affordability application for the person.
# Authorize the application to create the Insurance Affordability integrated case.
# On the Citizen Portal, create an external account for the person.
# Log in to the Citizen Portal.
# Submit a life event to capture the person's income.
# Issue: An unhandled server exception appears in the logs as the system attempts to add an entry to the CREOLECaseDetermination entity (username column), using the external user?s name. In a runtime environment, this user will be SYSTEM.

*Resolution:*
The server-side logic has been updated to check the user type when inserting a record into the CREOLECaseDetermination entity. If the user type is external, the username is updated to SYSTEM, thereby preventing the unhandled server exception.

"
SPM-138529,DT037260,Pseudo-translation characters are appearing in the language packs,Look and Feel,,,,"*Issue Description:*
Some files within the language packs contain pseudo-translation characters instead of the correct translations for the respective language. This issue affects UI elements, system messages, and other localized text, potentially impacting users who access the application in languages other than English.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a user in a non-English locale.
# Navigate around the application.
# Issue: Some UI elements are displayed with pseudo-translation characters instead of the correct translations.

*Resolution:*
The correct translations now appear consistently throughout the application.


 "
SPM-138508,DT037158," Users with a lower sensitivity level than the sensitivity level of a person on a case can view the client details on an application case search ",CEF,Application Development Environment,Security Management,,"*Issue Description:*
Users with a lower sensitivity level can view case details linked to a client with a higher sensitivity level. This includes personally identifiable information, such as the client?s name, program details, and date of birth.

*User Interface Impact:* No

*Prerequisites:*

# Log in as an administrator.
# Navigate to the shortcuts panel. Select User Interface.
# Navigate to Sections. Select DefaultAppSection. 
# Navigate to the shortcuts panel tab of the DefaultAppSection.
# Select New Link for Searches Group.
# Enter ?ApplicationSearch? in Link ID.
# Enter ?CommonIntake_applicationCaseSearch? in Page ID.
# Enter 'Application Search?? in Title. Save the details. 
# Navigate back to the User Interface menu in the shortcuts panel. Select Publish.

*Steps to Reproduce:*

# Log in as an administrator.
# Search for the Admin user.
# Change the administrator?s Sensitivity Level to 5.
# Search for the ?superuser? and change their Sensitivity Level to 5.
# Log in as a ?superuser?. 
# Register a person.
# Navigate to the actions menu on the Person tab and select to Edit.
# Update the Sensitivity Level to 5.
# From the Actions menu, select New Application Form.
# Complete and submit the application form to generate an application case.
# Note the Application Reference Number under Care and Protection - Applications.
# Log in as a caseworker (sensitivity level 1). 
# Click Person Search under Searches in the shortcuts panel.
# Click Application Search under Searches in the shortcuts panel.
# Enter the Reference Number and click Search.
# Issue: The search results display the client?s name and the program they applied for. Clicking on the Application Case link also reveals the client?s Date of Birth.

*Resolution*:                                                                                                                                                                                            
This issue has been resolved. When a user searches for an application case linked to a client with a higher sensitivity level, case details such as the application reference number, form, type, client?s name, and program details are greyed out and masked. If the user attempts to expand and view additional information of a restricted case, the following validation message is displayed: ?You do not have access to this client?s details.?

"
SPM-138459,DT037150,Evidence sharing fails for life events when sharing from Holding Case to Case A and then to Case B with Trusted Source set to Yes,CEF,Life Event Management,,,"*Issue Description:*
Evidence sharing fails for life events when sharing from a Holding Case to an integrated case and then to a further integrated case with ?Trusted Source? set to Yes.

*User Interface Impact:* No

*Prerequisites:*

# Ensure that logically equivalent evidence sharing is configured between the Holding Case (holding case evidence type - ET10000) and the Insurance Affordability integrated case (Income), with Trusted Source set to ?Yes?. 
# Ensure that logically equivalent evidence sharing is configured between Insurance Affordability integrated case (Income) and Income Support (Paid Employment - Earned Income), with Trusted Source set to ?Yes?. 
# The necessary configurations need to be in place to support the Advanced Life Event.

*Steps to Reproduce:*

# Log in as an Insurance Affordability caseworker.
# Register a Person.
# Submit an Insurance Affordability application for the person.
# Authorise the application to create the Insurance Affordability integrated case.
# Log out and log in as an eligibility worker.
# Submit an Income Support application for the person.
# Authorize the application to create the Income Support integrated case.
# On the Citizen Portal, create an external account for the person.
# Log in to the Citizen Portal.
# Submit a life event to capture the person's income.
# Issue: Sharing fails between Insurance Affordability integrated case (Income) and Income Support (Paid Employment - Earned Income)

*Resolution:*
This issue is resolved, and evidence is now shared between the integrated cases when Trusted Source is set to Yes. 


"
SPM-138458,"   DT037152",Rich Text Editor <iframe> title text is not translated,Accessibility,,,,"*Issue Description:*
The ?Rich Text Editor? label is not being translated when logged in as a user in the French locale.

*User Interface Impact:* No

*Steps to Reproduce:* 

# Enable a screen reader. 
# Log in as a caseworker in the French locale.
# Register a new Person.
# Click the Client Contact tab and select Notes.
# Click the New page-level action.
# Issue: The screen reader announces the ?Rich Text Editor? title in English.

*Resolution:*
The ?Rich Text Editor? title is now translated to ?Éditeur de texte enrichi? when logged in as a user in the French locale.


"
SPM-138457,DT037239,XMLServer does not function with latest version of WebSphere Liberty (24.0.0.9) and WebSphere Version 9.0.5.21,CEF,Application Development Environment,Server Development Environment,XML Server,"*Issue Description:*
XMLServer does not function with the version of WebSphere Liberty (24.0.0.9) and WebSphere Version 9.0.5.21 and upwards.

*User Interface Impact:* No

*Steps to Reproduce:*

# Deploy the Cúram application in WebSphere Liberty 24.0.0.9 or IBM WebSphere 9.0.5.21
# Use the XMLServer to generate a PDF document.
# Issue: An error is displayed on the client screen, and the server log files will contain a message ?SSL HANDSHAKE FAILURE?. E.g.:

  CWPKI0824E: SSL HANDSHAKE FAILURE: Hostname verification error while connecting to host [127.0.0.1].
  The hostname used to access the server does not match the server certificate's [Subject Alternative Name []].
  The extended error message from the SSL handshake exception is: [No subject alternative names present].

The reason is that when IBM WebSphere or WebSphere Liberty is acting as a client connecting to an outbound server, the runtime now checks to make sure that the hostname or IP address from the server certificate's Subject Alternative Name (SAN) matches the hostname or IP address used when establishing the connection.

*Resolution:*
A new property 'san.name' has been added to TLSKeystore.properties to specify the SAN information to be included in the XML Server certificate. The default value of this property is 'san.name='dns:xmlserver,dns:localhost'. For more details, see the section 'Securing the XML server' in the _Cúram XML Infrastructure Guide_.

"
SPM-138374,DT037147,Dynamic Evidence Calculated Attributes failure on submitting a life event,CEF,Life Event Management,,,"*Issue Description:*
Evidence sharing fails for life events when sharing from a Holding Case to an integrated case, if the dynamic evidence has a calculated attribute.

*User Interface Impact:* No

*Prerequisites:*

# Ensure that logically equivalent evidence sharing is configured between the Holding Case (holding case evidence type - ET10000) and the Insurance Affordability integrated case (Income), with Trusted Source set to ?Yes?.
# The necessary configurations need to be in place to support the Advanced Life Event.

*Steps to Reproduce:*

# Log in as an Insurance Affordability caseworker.
# Register a Person.
# Submit an Insurance Affordability application for the person.
# Authorise the application to create the Insurance Affordability integrated case.
# Submit an Income Support application for the person.
# Authorize the application to create the Income Support integrated case.
# On the Citizen Portal, create an external account for the person.
# Log in to the Citizen Portal.
# Submit a life event to capture the person's income.
# Issue: Sharing fails between the life event (Holding evidence) and the Insurance Affordability integrated case (Income).

*Resolution:*
This issue has been resolved, the calculated attribute is inserted with a value and evidence is shared across integrated cases.

"
SPM-138370,DT037145,The placeholder text that prompts a user for the correct date format is not translated,Look and Feel,Common Intake,,,"*Issue Description:*
The placeholder text that prompts a user for the correct date format is not translated within the date input field.

*User Interface Impact:* No

*Steps to Reproduce:*

a. On the register person modal.

# Log in as an administrator.
# Search for the caseworker user.
# Change the user locale to a non-English locale.
# Log in as a caseworker.
# Select the Register Person link from the shortcuts panel.
# Issue: The placeholder text in the date input field, which prompts the correct date format to a user, is not translated.

b. On Universal Access Classic Citizen Portal IEG screens. 

# Open the Citizen Portal application home page with a non-English locale selected.
# Click ?Apply For Benefits?.
# Select the option to start an application without creating an account.
# Select an application that includes at least one date field and navigate to that field.
# Issue: The placeholder text in date fields, which displays the correct date format for a citizen, is not translated.

*Resolution:*
New properties have resolved the issue to provide translation for the date format placeholder text within the date input fields. 

*Technical:*
The following properties have been added to CDEJResources.properties to handle the date format display only (i.e. placeholder text).

* {{Dateformat.LocalizedText}}
* {{Dateseparator.LocalizedText}}

Both properties are defaulted to blank, in which case the date format inside the ApplicationConfiguration.properties file will be used as a fallback for the placeholder text in a date input field.

*Notes for Upgrading:*

*Single-Locale Customer (English locale)*

Single-locale customers running in an English locale will have no upgrade impact.

*Single-Locale Customer (non-English locale)*

Single-locale customers running in a non-English locale most likely have this issue already, insofar as the placeholder text format in their date input fields is the same format as the date format inside ApplicationConfiguration.properties. If those customers want the placeholder text to be in keeping with their locale, they can provide the format in a localized version of CDEJResources.properties, e.g. CDEJResources_fr.properties, which should be updated with {{Dateformat.LocalizedText=""""aaaa MM jj""""}}, in keeping with the date format in their ApplicationConfiguration.properties file.

*Multi-Locale Customer*

On a multi-locale application (English/French, for example), with date format specified inside ApplicationConfiguration.properties as {{dateformat=""""yyyy MM dd"""",}} the localized version of CDEJResources.properties, e.g. CDEJResources_fr.properties, should be updated with {{Dateformat.LocalizedText=""""aaaa MM jj""""}}.

More information on the properties can be found in both the _CuramRegionalizationGuide_ and the _CuramWebClientReferenceManual_.

 
"
