TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-134580,DT036975,Button labels used to launch certain dialogs do not match the dialog headings,Accessibility,,,,"*Issue Description:*
The button labels used to launch certain dialogs do not match the dialog headings, which can cause confusion when navigating the application.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as an administrator.
# Click Work Queues under Workflow in the shortcuts panel.
# Click the Add Name Text Translation button next to a work queue's name.
# Issue: The button labelled *Add Name Text Translation* opens a modal dialog entitled *View Localizable Text.* This discrepancy between the button label and the modal dialog title can create confusion, violating WCAG Success Criterion 2.4.6 regarding consistent Headings and Labels.

*Resolution:*
The button text has been updated to match the modal dialog title. This pattern occurs in multiple places throughout the administration application. The following areas have also been updated with the same fix: Organization, Quick Links, Delivery Patterns, Milestones, Outcome Management and Universal Access.

"
SPM-134579,DT036981,Label for expand/collapse context panel button is not meaningful and does not describe its purpose,Accessibility,,,,"*Issue Description:*
The toggle button for context panels is not properly labelled for screen reader users.

*User Interface Impact:* No

*Steps to Reproduce:*

# Enable a screen reader.
# Log in as a caseworker.
# Register a person.
# On the person tab, navigate to the context panel toggle button.
# Issue: The screen reader reads ?Toggle expanded/collapsed?, without announcing the context.

*Resolution:*
The ?aria-label? has been updated to include the context. When the context panel is expanded, the screen reader announces ?Context Panel, button, expanded?, and when it is collapsed, it announces ?Context Panel, button, collapsed?. Additionally, the tooltip shows ?Expand Context Panel? when the panel is collapsed and ?Collapse Context Panel? when the panel is expanded, providing clear visual feedback for sighted users.

*Technical:*
The following properties have been added in CDEJResources.properties to handle the new tooltip.

* context.panel.toggle.expand with a default value of ?Expand Context Panel?.
* context.panel.toggle.collapse with a default value of ?Collapse Context Panel?.

"
SPM-134421,DT036971,Focus not visible when Calendar icon in IEG receives the focus,Accessibility,,,,"*Issue Description:*
The focus indicator is not visible when the calendar icon in IEG receives focus.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a Person.
# On the person home page, select New Application Form from the tab actions menu.
# Use the keyboard to tab on to a calendar icon.
# Issue: The focus indicator is not visible when the icon receives focus.

*Resolution:*
A button element has been added to contain the calendar icon and the focus is now visible. 

"
SPM-134198,DT036962,Issue in migration of address via PECMigration Batch,CEF,Application Development Environment,Participant Management,,"*Issue Description:*
The PECMigrationBatch job provides the foundation for the migration of data from Participant Data Case (PDC) to Person Evidence Case (PEC). During the migration of PDCAddress evidence, the value of the ?address? field in the DynamicEvidenceDataAttribute table is incorrectly copied. This field serves as a foreign key to an Address entity. Instead, the Address and its associated AddressElement records should be migrated, and the value of the DynamicEvidenceDataAttribute for the ?address? should be updated to reflect the primary key of the migrated Address entity.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a person.
# Run the PECMigrationBatch job.
# Review the migrated DynamicEvidenceDataAttribute records for PDCAddress.
# Issue: The value of the DynamicEvidenceDataAttribute row with name ?address? has the same value as the original PDC record.

*Resolution:*
When the PECMigrationBatch job migrates DynamicEvidenceDataAttribute rows for PDCAddress evidence, it now migrates the Address and AddressElement records where the ADDRESSID matches the ?value? in the DynamicEvidenceDataAttribute row with the name ?address?. It then re-links the value to the ADDRESSID of the migrated Address record.

"
SPM-134125,DT036965,Code Table Hierarchy fields are not working in Intelligent Evidence Gathering scripts when 'curam.dropdown.filterandsort.enabled' is set to true,SOL,Intelligent Evidence Gathering,,,"*Issue Description:*
When the ?curam.dropdown.filterandsort.enabled? application property is set to true to enable filtering and sorting of drop-down menu options in the Cúram application, secondary-level drop-down menus in Codetable Hierarchy fields in Intelligent Evidence Gathering (IEG) scripts are not displaying any options after a value is selected in the first drop-down menu.

*User Interface Impact:* No

*Prerequisites:*

# Log in as a system administrator.
# Set the ?curam.dropdown.filterandsort.enabled? application property to true.
# Save and publish the changes.

*Steps to Reproduce:*

# Log in as an Income Support caseworker.
# Register a person.
# Open the person and launch a new Food Assistance application.
# Fill in all mandatory details in the IEG script and navigate to the Resources section.
# In the Resources section, select No for all the questions apart from the last question. Select Yes when asked, ?Has anyone in the claimant's home sold, traded, given away or transferred a resource in the last three months??. 
# Navigate to the Resource Transfer details page.
# Select a value in the Resource Type drop-down menu.
# Try to select a value in the adjacent Item Type drop-down menu.
# Issue: No values appear in the Item Type drop-down menu.

*Resolution:*
When the ?curam.dropdown.filterandsort.enabled? application property is set to true, Codetable Hierarchy fields in IEG scripts display options after a value is selected in the first drop-down menu.

"
SPM-134024,,The Javassist JAR file has been added to the server EAR to ensure it is not required in the shared library to enable login,CEF,Technical Services,Core Development Infrastructure,,"*Issue Description:*
In Cúram 8.1.2 iFix2 an additional instruction was required during deployment (copying the javassist jar to the shared library folder) to resolve a Login related issue.

*User Interface Impact:* No.

*Resolution:*
In 8.1.3 this has been fully resolved within Cúram code and the additional instruction is no longer required.

"
SPM-133967,DT036959,Focus not retained in session timeout dialog,Accessibility,,,,"*Issue Description:*
Browser focus moves to the browser after pressing the tab from the ?Stay logged In? button on the session timeout dialog.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Remain idle until the session timeout modal dialog appears.
# Navigate to the ?Stay logged In? button using the Tab key.
# Press the tab again.
# Issue: Browser focus should remain within the session timeout dialog but instead moves to the browser window.

*Resolution:*
This issue was resolved by ensuring focus reverts to its original location within the session timeout dialog when the tab is pressed from the ?Stay logged In? button.

"
SPM-133908,DT036950,Screen reader not reading the legend text for checkboxes group on search pages,Accessibility,,,,"*Issue Description:*
The screen reader does not read the legend text for the checkbox groups on the Case Search, Application Search, Investigation Search, and My Cases pages.

*User Interface Impact:* No

*Steps to Reproduce:*

# Enable a screen reader.
# Log in as a caseworker.
# Select Case Search under Searches in the shortcuts panel.
# Issue: The screen reader reads ?Case Search checkbox? but doesn?t provide a name for the group ('Case Name' in this instance). This issue also appears in other checkbox searches in the application, such as Application Search, Investigation Search, and the My Cases search pages.

*Resolution:*
Legend text is present for all the affected searches, but the associated CSS class was ?hidden?. Updating this to ('cds--visually-hidden') resolved the issue.

"
SPM-133906,DT036949,Accessibility issues with the Search button in the Application Search,Accessibility,,,,"*Issue Description:*
There are screen reader issues with the search input field and search button in the Cúram application header. The text is being read out twice and is not contextually correct.

*User Interface Impact:* No

*Steps to Reproduce:*

# Enable a screen reader.
# Log in as a caseworker.
# Navigate to the search icon in the application banner using the keyboard and listen to what the screen reader announces.
# Issue: The screen reader announces ?Application search Search landmark? for the input field and ?Search graphic link application search? for the search button.

*Resolution:* 
The screen reader now announces ?Search? for the input field and ?Search? when the search button is selected, the repetitive text has been removed. The underlying HTML has been updated to a button tag. This will assist screen reader users in navigating the search fields.

Translation Issue: In English, the ?Search Application? has been changed to ?Search? however in French ?Recherche d?application' still remains and is read out by the screen reader. This translation issue will be addressed in the next release.

"
SPM-133887,DT036956,No labels are defined for the Photo View and List View tabs in the context panel,Accessibility,,,,"*Issue Description:*
The Photo View and List View tabs in the context panel are missing property elements, which may cause accessibility issues.

*User Interface Impact:* No

*Steps to Reproduce (Generic):*

# Log in as a caseworker.
# Register a new Person.
# Create an integrated case for the person.
# Register another person and add them as a participant to the integrated case.
# Right-click the Photo View and List View tabs on the integrated case's context panel, then select Inspect to view the code.
# Issue: 

* Missing ?aria-label? for the tablist element.
* Missing aria-controls property for each element with role tab referring to its associated tabpanel element.
* There should only be one tabstop for the entire tablist. Only the selected tab should have tabindex=0 with other tabs tabindex of -1. 
* There is no visual indication of the Photo View and List View tab when it?s selected.

*Resolution:*
These issues have been resolved. An aria-controls property has been added for each element with a role tab, the ?aria-label? Participant view mode has been added, and there is now only one tabstop for the tablist.

"
SPM-133797,DT036944,AssessmentEngineImpl.regenerateFinancials() is throwing record not found exception error,ENT,Financial Management,Financials,,"*Issue Description:*
Suspending a liability case that has ended up with cancelled instruction line items can result in a record not found exception being thrown.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a new Person.
# Create an integrated case for the person.
# Add evidence to make the person eligible.
# Activate the evidence.
# Add an associated product delivery.
# Add a certification to the product delivery.
# Submit, approve and activate the product delivery.
# Navigate to the Financials tab.
# Generate a payment using the Issue Payment page action.
# Modify the evidence on the integrated case so that the person is eligible for less.
# Apply changes.
# Click the Financials tab and select Over and Under Payments.
# An overpayment should be present in the list.
# Click the overpayment case reference to open the Payment Correction case.
# As there is no easy way to cancel instruction line items out-of-the-box, locate the instruction line item associated with the Payment Correction case via the database, and change its status from ?PRO? to ?CAN?.
# Return to the Payment Correction case and suspend it.
# Issue: A view of the stack trace will reveal that a record not found exception is being thrown when PaymentInstruction.readByFinInstructionID() is executed inside AssessmentEngine.regenerateFinancials().

*Resolution:*
The logic inside AssessmentEngine.regenerateFinancials() is now liability-aware, meaning it will no longer throw a record not found exception when a liability is suspended. Changes have also been made to the APIs executed as part of the suspension flow to address potential issues arising from a liability suspension.

"
SPM-133745,DT036942,Cúram Data Mapping Editor does not open correctly or save changes made,ENT,Universal Access,,,"*Issue Description:*
When an administrator tries to open the Cu?ram Data Mapping editor or save changes an error is displayed.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as an administrator.
# Select Applications under Universal Access in the shortcuts panel.
# On the Online Applications tab, expand any existing application, for example, the Health Care Application.
# Select the Programs tab and expand any of the existing programs, for example, Insurance Affordability.
# From the action menu, select New Data Mapping. Accept the default Effective Date and click Save.
# From the action menu for this new Data Mapping, click Edit.
# Open the Cu?ram Data Mapping Editor when prompted.
# Issue: An error ?Failed to access? server is presented to the user.

*Resolution:*
Administrators can access the Cu?ram Data Mapping Editor and save the evidence mapping updates. 

"
SPM-133744,,Certify the usage of Db2 Community Edition for Cúram development and testing,Third Party Updates,,,,"IBM® Db2® Community Edition ([https://www.ibm.com/docs/en/db2/11.5?topic=editions-db2-database-product-offerings#c0058536__db2_community|https://www.ibm.com/docs/en/db2/11.5?topic=editions-db2-database-product-offerings#c0058536__db2_community]) is a free offering that includes the full features of Db2, enabling users to develop and deploy small applications for free in their environments. As requirements grow, Db2 Community Edition is easily upgradable to paid editions with a simple activation key.

Support for IBM® Db2® Community Edition 11.5.x versions has been added for Cúram development and testing purposes. It is not supported for Cúram production environments.

"
SPM-133702,,Update Guava to latest version,Third Party Updates,,,,"Google Guava is an open source set of core libraries for the Java platform released by Google under the Apache License. The version of Google Guava used in the Cúram product has been updated from 27.0.1-jre to 33.2.0-jre. 

As a result of this upgrade, the following changes have been made in the Server Java Development Environment deliverable.

* guava.jar (updated from 27.0.1-jre to 33.2.0-jre).
* failureaccess.jar (updated from 1.0.1 to 1.0.2) - this is a dependency of guava.

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR files that are specified above.

"
SPM-133640,DT036939,Assigned Tasks page fails to load when the page is configured to be a task search page,CEF,Supervisor Workspace,Task Management,,"*Issue Description:*
When the application property 'curam.supervisor.enableuserassignedtaskssearch' is set to YES, the Assigned Tasks screen in the Supervisor Workspace cannot be loaded due to an application error.

*User Interface Impact:* No

*Prerequisites:*

# Log in as a system administrator.
# Click Property Administration under Application Data in the shortcuts panel.
# Search for the property with the name ?curam.supervisor.enableuserassignedtaskssearch?.
# Use the row-level action to modify the value of the property to YES.
# Use the page-level action to publish the changes.

*Steps to Reproduce:*

# Log in as a supervisor.
# Click User Search below Searches in the shortcuts panel.
# Search for a user.
# In the results, click the hyperlink for the user to open the user?s workspace.
# Click the Task tab.
# Issue: The default page, Assigned Tasks, fails to load and displays ?An Application Error Has Occurred?.

*Resolution:*
This issue has been resolved and the Assigned Tasks page now loads successfully allowing users to action the Task Search on the page when ?curam.supervisor.enableuserassignedtaskssearch? is set to YES.

"
SPM-133632,,Replace the iText library with the OpenPDF library in Cúram,Third Party Updates,,,,"iText is a Java library for creating and manipulating PDF documents. It enables developers to generate complex PDF files programmatically, including adding text, images, and tables, as well as modifying existing PDFs. Its usage in Merative Cùram is primarily focused on generating printable documentation for outcome plans.

The iText library used by Cùram has now been removed and replaced by OpenPDF version 1.3.43. OpenPDF is an open-source library for creating and manipulating PDF documents in Java, derived from the iText library version 4.2.0. It offers features for generating complex PDF files programmatically, including adding text, images and tables, as well as modifying existing PDFs.

As a result of this upgrade, several changes were made across all components of the Social Program Management application.
The changes to the JAR files include:

* EJBServercomponentsWorkspaceServiceslibiText-2.1.7.jar - iText version removed.
* CuramSDEJlibopenpdf-1.3.43.jar - openPDF version 1.3.43 added.

Note that any references in custom build scripts to the versioned JAR file should be updated to point to the new JAR file as specified above.

The impact on custom code should be minimal, but it could result in these main differences, particularly if the removed packages were previously utilized:

# OpenPDF introduced type safety with generics. For example, in the original code, final List<Chunk> chunks = pdfFieldCellParagraph.getChunks(); might need to be replaced with final List<Element> chunks = pdfFieldCellParagraph.getChunks();.
# The rtf.com.lowagie.text.rtf package, which is not included in OpenPDF, has been replaced by a related project called OpenRTF, available at [OpenRTF on Maven Repository|https://mvnrepository.com/artifact/com.github.librepdf/openrtf].
# The rups.com.lowagie.rups package, featuring the RUPS tool for PDF inspection and manipulation, was part of the original iText library but has been excluded from OpenPDF. An alternative fork of RUPS can be found at [PDF Swing on Maven Repository|https://mvnrepository.com/artifact/com.github.librepdf/pdf-swing].

"
SPM-133585,DT036931,An error occurs when multiple evidence pages simultaneously try to access the AppResource table for the first time,CEF,Dynamic Evidence,,,"*Issue Description:*
During dynamic evidence maintenance operations, ?The page you have requested is not available.? is sporadically seen. To resolve this problem, a server restart is required, and the page can then be reloaded successfully.

*User Interface Impact:* No

*Steps to Reproduce:*

# AppResource entries with name prefixed with DynEvd_ are removed from the AppResource database table.
# The application is started in a Cluster configuration where multiple Application Server nodes are started.
# The application experiences a high load regarding dynamic evidence maintenance operations across clustered nodes.
# Issue: A sporadic 404 response is returned for a user-requested dynamic evidence page during an evidence maintenance operation. This results in the User seeing the ?The page you have requested is not available.? message. The issue occurs because of problems trying to access AppResource table data under load conditions. The failed access attempt is final on the affected node, and no further attempts to load that dynamic evidence page can be made on that node until restart.

*Resolution:*
The solution is to prevent the need for server restart whenever an attempt to load a dynamic evidence page fails. During infrastructure UI Component Model Cache loading, the infrastructure will now retry loading of dynamic evidence pages that have failed to load, thereby allowing the User additional attempts to access that page.

"
SPM-133492,DT036924,IEG window height is compressed when opened from an actions menu,ENT,Intelligent Evidence Gathering,,,"*Issue Description:*
When an IEG modal window is launched from an actions menu, the height of the modal is compressed, making it difficult for the user to populate the form.

*User Interface Impact:* No

*Prerequisites:*
There is no equivalent flow in the default Cúram application, so the following steps can be performed to reproduce the issue:

# Create an action menu item that opens a modal window where the user can select an intake application with only one program linked to it.
# On selecting the intake application, call the following default application UIM files, which direct the user to the IEG modal.
# The page flow should be the following in this instance: 

* Custom Modal Window > CommonIntake&#95;listInternalIntakePrograms > CommonIntake&#95;startInternalIntakeScriptPage

*Steps to Reproduce:*

*Scenario 1:*

# Log in as a caseworker.
# Register a new Person.
# Click the New Application Form action menu item.
# Select the application and click Next to launch the IEG modal.
# Issue: If only a single program is configured in the above scenario, the IEG modal that launches has a very short height, making it difficult for the user to fill in the required details.

*Resolution:*
The IEG modal window is now launched with a minimum default height, ensuring that the modal's height is sufficient to allow the user to fill in all the required details in a more user-friendly manner.
"
SPM-133388,,Remove the castor JAR file from the Cúram deliverable,ENT,Universal Access,Evidence Management,Infrastructure,"*Issue Description:*

Internally, the Cúram Data Mapping Engine (CDME) uses XML data and mapping rules to transform datastore data captured by Intelligent Evidence Gathering (IEG) into evidence entities. It also uses XML data and mapping rules to populate a PDF form. This support has been updated to use the JAXB XML binding framework which replaces the one used previously which was based on an old XML framework called Castor XML.

As a result of this update, the following changes have been made to the Cúram deliverable:

1) CuramSDEJ/lib/castor-xml-0.9.5.4.jar has been removed as it is no longer used by the Cúram application.

2) EJBServer/components/WorkspaceServices/lib/WorkspaceServices.jar has been updated. Internal class method signatures have been modified but the classes modified are marked as non-accessible and not available to be called by custom code.

4) The following Castor XML-related files have been removed from the CPM component as they are no longer used:

* EJBServer/components/CPM/data/initial/blob/ProviderOfferingIndexMapping.xml
* EJBServer/components/CPM/data/initial/blob/TaxonomyMapping.xml
* EJBServer/components/CPM/data/initial/blob/TaxonomyElementMapping.xml
* EJBServer/components/CPM/data/initial/APPRESOURCE.dmx has been updated to remove the entries for the TaxonomyMapping.xml and TaxonomyElementMapping.xml files.

5) The following message IML file has been updated

* CuramSDEJmessageWorkflow.iml - removed the message RUN&#95;ID&#95;CANNOT&#95;LOAD&#95;CASTOR&#95;MAPPING&#95;FILE

*User Interface Impact:* No"
SPM-133355,DT036921,Resolve Jersey classloading issue with latest Patches from WebLogic 14.1,CEF,Technical Services,Rest,Infrastructure,"*Description:* 
A change in WLS PATCH SET UPDATE 14.1.1.0.231220, or later, led to conflicts with packages on the Oracle WebLogic Application Server when deploying the Cúram REST application.

*User Interface Impact:* No

*Steps to Reproduce:* N/A

*Resolution:*
A configuration change was introduced by adding META-INF/services/org.glassfish.jersey as a preferred application resource to the REST weblogic-application.xml to resolve this conflict.

*Technical:* 
The following files have been updated:

* ../EJBServer/components/Rest/resources/ear/wls/META-INF/weblogic-application.xml

"
SPM-133314,DT036920,Session timeout not logging the user out correctly when machine is restored from sleep mode,CEF,Application Development Environment,,,"*Issue Description:*
The Cúram Session Timeout feature behaves unexpectedly when restored after sleep mode has been activated.

*User Interface Impact:* No

*Steps to Reproduce:* N/A

*Resolution:*
Additional functionality has been added to ensure the Session Timeout feature behaves as expected.

"
SPM-133231,DT036918,Calendar date picker does not default to the current date when an existing date is cleared,CEF,Application Development Environment,Client Development Environment,,"*Issue Description:*
The Calendar date picker does not default to the current date when a previous date is cleared.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as an administrator.
# Click User Search below Users in the shortcuts panel.
# Search for an existing user and open the user record.
# On the Home tab click edit.
# On the Edit User modal, scroll down to the Account Expires On field.
# Using the date picker, set any date at least one month in the future. For example, if the current month is April, pick any date in May or later.
# Save the changes.
# Again, click Edit on the user home tab.
# Click the Account Expires On field and clear the current entry.
# Click away from the Account Expires On field and then click back on to the Account Expires On field.
# Issue: The calendar date picker will display the month for the previously selected value even though the value was cleared.

*Resolution:*
The Calendar date picker defaults to the current date when a previous date is cleared.


"
SPM-133184,DT036917,Invalid values entered for code table drop-down fields do not throw validation messages,CEF,Dynamic Evidence,,,"*Issue Description:*
When an invalid value is entered into drop-downs, no validation is displayed to indicate that the value is invalid, and the default drop-down value is saved. This can result in the system inadvertently saving wrong values.

*User Interface Impact:* No 

*Steps to Reproduce:*

# Log in as a caseworker. 
# Register a person.
# In the Gender field which defaults to Male,  type 'abc'.
# Click Save.
# Issue:  A validation is not displayed to indicate an invalid value has been entered and the default value (Male) is recorded as the person?s Gender.

*Resolution:*
A validation indicates an invalid value has been entered into a drop-down.

*Technical:*
A user can now select an option by entering free-form text in the input field for a drop-down.

"
SPM-133016,," Replace the old appealed items and appealed items awaiting approval icons with the V8 version",Accessibility,,,,"*Issue Description:*
The appealed Items and the appealed items awaiting approval icons on the appeal case context panel are failing for non-text contrast accessibility checks.

*User Interface Impact:* No

*Steps to Reproduce (Generic):*

# Log in as a caseworker.
# Register a new person and create an integrated case.
# Add the necessary evidence to make the associated product delivery eligible.
# Apply the evidence changes.
# Create the associated product delivery.
# Submit, approve and activate the product delivery.
# Create a new appeal case from the product delivery case.
# Issue: On the appeal case context panel, the appealed Items and the appealed items awaiting approval icons fail the non-text contrast checks.

*Resolution:*
The icons have been replaced and the accessibility checks now pass.

"
SPM-133002,DT036912,Universal Access IEG form fails while deleting conditional pages,ENT,Intelligent Evidence Gathering,,,"*Issue Description:*
Conditional page navigation fails when the condition expression uses a custom function, and the condition result changes.

*User Interface Impact:* No

*Steps to Reproduce:*

# Create a script that includes conditional pages based on a custom function expression.
# Run the script and select a value for the conditional question.
# Navigate to the summary page.
# Edit the data from the summary page, which navigates back to the conditional question.
# Update the value of the conditional question so that the condition changes, and then click the submit button.
# Issue: An error is displayed on the page - ?Something went wrong. Try again later.?

*Resolution:*
Conditional pages are now handled correctly when the condition expression uses a custom function, and the expected page is displayed whenever the condition result changes.

"
SPM-132922,,Remove the superfluous CCSRemoval UIM and property files from the IV-E Eligibility webclient component,Code Removal,,,,"Child Welfare provides an unsupported sample implementation of the Title IV-E Eligibility Determination Process, which applies eligibility rules to collected information to determine if a child qualifies under Title IV-E. This can be installed as an optional component by selecting the ?IE-V&#95;Eligibility? component in the Child Welfare Installer and enabled by setting the ?curam.cfss.iveeligibility.enabled? application property to true. This results in the display of an IV-E Eligibility tab in the Ongoing Case.

The IV-E component includes a sample Classic rule set and a set of evidence to demonstrate how Title IV-E eligibility can be determined. The sample rules execute against evidence such as the child?s age, deprivation, citizenship status, and home removal information to assess the child's IV-E eligibility.

Some UIM and property files, which were originally located in the ?CFSSwebclientcomponentsChildServicesFostercareRemoval? directory but had been duplicated in the ?CFSSwebclientcomponentsIVEEligibilityOverriddenChild ServicesFostercareRemoval? directory, have been removed. These files were identical to the original ones and were redundant in the Child Welfare solution. The files removed from the ?CFSSwebclientcomponentsIVEEligibilityOverriddenChild ServicesFostercareRemoval? directory are listed below:

* CCSRemoval&#95;createChildRemovalDetails.uim
* CCSRemoval&#95;createChildRemovalDetails.properties
* CCSRemoval&#95;modifyChildRemovalDetails.uim
* CCSRemoval&#95;modifyChildRemovalDetails.properties
* CCSRemoval&#95;viewChildRemovalDetailsFromAdoption.uim
* CCSRemoval&#95;viewChildRemovalDetailsFromAdoption.properties

"
SPM-132581,,Update the version of the commons-configuration JAR file to the latest,Third Party Updates,,,,"The Apache Commons Configuration package contains tools to assist in the reading of configuration/preferences files in various formats. The library is used in Cúram in a variety of places for XML configuration processing. It is mainly used in the client project for processing the various configuration files for Client Widgets.

The version of the commons configuration library has now been updated from 2.9.0 to 2.10.1. The new version contains some defect fixes and minor enhancements. As a result of this upgrade, the following changes have been made to the Cúram deliverable.

* CuramCDEJlibextjarcommons-configuration-2.10.1.jar - the version of the JAR file has been updated.
* TI/lib/release/third&#95;party&#95;version.properties - the version of the specified commons-configuration JAR has been updated.

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR file that is specified above.

"
SPM-132486,DT036899,Unable to search on a single character in Address Line 1,CEF,,,,"*Issue Description:*
When users attempt to search using only a single character in the Address Line 1 field, a validation message is displayed stating, ?Address Line 1 field must contain at least 2 alphanumeric characters.? This validation prevents users from searching for addresses that require only one character in Address Line 1.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Navigate to Service Supplier Search under Searches in the shortcuts panel.
# Enter a single character in the Address Line 1 field and click Search.
# Issue: A validation prevents the user from searching. 

*Resolution:*
Configurable validations have been introduced that will allow system administrators to configure whether or not minimum length validations are displayed for Address Line 1, Address Line 2, and City. These validations are enabled by default, they can be disabled in the Validation Configuration section of the System Administration application to prevent minimum length checks.   

References for configurable validations added in Platform:

* generalsearch.err&#95;search&#95;fv&#95;address&#95;line&#95;1&#95;short|a|
* generalsearch.err&#95;search&#95;fv&#95;address&#95;line&#95;1&#95;short|b|
* generalsearch.err&#95;search&#95;fv&#95;address&#95;line&#95;2&#95;short|a|
* generalsearch.err&#95;search&#95;fv&#95;address&#95;line&#95;2&#95;short|b|
* generalsearch.err&#95;search&#95;fv&#95;city&#95;short|a|
* generalsearch.err&#95;search&#95;fv&#95;city&#95;short|b|
* generalsearch.err&#95;search&#95;fv&#95;street&#95;number&#95;short|a| (CA&#95;CIVIC address layout only)
* generalsearch.err&#95;search&#95;fv&#95;street&#95;number&#95;short|b| (CA&#95;CIVIC address layout only)
* generalsearch.err&#95;search&#95;fv&#95;street&#95;name&#95;short|a| (CA&#95;CIVIC address layout only)
* generalsearch.err&#95;search&#95;fv&#95;street&#95;name&#95;short|b| (CA&#95;CIVIC address layout only)
"
SPM-132471,DT036898,"When searching for available tasks, the API that retrieves the tasks performs unnecessary processing ",CEF,Administration Suite,Workflow,Workflow APIs,"*Issue Description:*
When searching for available tasks, the API that retrieves the tasks performs processing for an existing informational message that displayed the total number of outstanding available tasks for the user even though the number of tasks displayed on the search results page was limited by the property 'curam.inbox.max.task.list.size'. When a user is subscribed to a large number of work queues, the performance overhead of counting the tasks assigned to that user can be considerable.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# From the Inbox workspace, select Available Tasks below Tasks in the shortcuts panel. This will display the Available Tasks search page.
# Issue: In certain circumstances, the Available Tasks search page takes too long to load.

*Resolution:*
A new property ?curam.workflow.display.num.assigned.tasks.on.inbox.task.lists?, which is on by default, will result in the original behaviour on the Available Tasks and Task Search pages. That is, the pages will include an informational which specifies the total number of user subscribed tasks as a result of the max size being reached which is specified in the property ?curam.inbox.max.task.list.size?. 
When the new property is turned off and the results reach the max size, a new informational message is displayed to inform the user to refine their search. This will no longer require the application to count the user?s subscribed tasks.

"
SPM-132465,,iFrames within expandable lists have empty title HTML attributes,Accessibility,,,,"*Issue Description:*
The title attribute of the iFrame within an expandable list is missing, resulting in no accessible name for the element. This can create accessibility issues for screen reader users.

*User Interface Impact:* No

*Steps to Reproduce:*

# Log in as a caseworker.
# Click Search under Person in the shortcuts panel.
# On the Person Search page, enter  ?Smith? in the last name field and click the Search button.
# Expand an item in the Search Results.
# Use the browser developer tools to inspect the HTML.
# Issue: The iFrame element does not have a title, which can cause accessibility issues for screen reader users. 

*Resolution:*
The title attribute has been added to the iFrames, improving navigation for screen reader users.

For more information on the artifacts modified in this update, please refer to the _Merative Cúram 8.1.3.0 Update iFrames Titles_ PDF document included with this release.

[Merative Cu?ram 8.1.3.0 Update iFrames Titles|https://curam-spm-devops.github.io/wh-support-docs/pdf/releasenotes/Merative&#95;Cu?ram&#95;8.1.3.0&#95;Update&#95;iFrames&#95;Titles.pdf]

"
SPM-132420,,Inline actions are missing from the overflow menu on the Objectives list page when the number of list actions to display inline is set to a value greater than 1,CEF,,,,"*Issue Description:*
When the number of list actions to display inline is set to a value greater than 1, inline actions are missing from the overflow menu on the Objectives list page.

*User Interface Impact:* No

*Scenario 1:*

# Log in as a system administrator.
# Navigate to Property Administration under Application Data in the shortcuts panel.
# Search for the property ?curam.actionmenus.max-inline-items.list?.
# Set the value to 2. Save and publish the changes.
# Log in as an administrator. 
# Navigate to Outcome Plans under the Outcome Management section in the shortcuts panel.
# Select an Outcome Plan, for example, the Child Welfare Outcome Plan to view the plan.
# Navigate to the Objectives tab and add 2 new Objectives. 
# Log in as a Child Welfare Structured Decision-Making Caseworker.
# Register a person under 18 years old and create an Ongoing Case for the person. 
# Select the Outcome Plan tab on the Ongoing Case and create a new Child Welfare Outcome Plan. 
# On the Outcome Plan, navigate to the Workspace tab. 
# Add an Objective to the Outcome Plan. 
# Click the action menu for the Objective. 
# Issue: The New Note, Update Expected End Date, and Review actions are not displayed in the overflow menu.

*Scenario 2:*

# Log in as a system administrator.
# Navigate to Property Administration under Application Data in the shortcuts panel.
# Search for the property ?curam.actionmenus.max-inline-items.list?.
# Set the value to 10. Save and publish the changes.
# Log in as an administrator. 
# Navigate to Outcome Plans under the Outcome Management section in the shortcuts panel.
# Select an Outcome Plan, for example, the Child Welfare Outcome Plan to view the plan.
# Navigate to the Objectives tab and add 2 new Objectives. 
# Log in as a Child Welfare Structured Decision-Making Caseworker.
# Register a person under 18 years old and create an Ongoing Case for the person. 
# Select the Outcome Plan tab on the Ongoing Case and create a new Child Welfare Outcome Plan. 
# On the Outcome Plan, navigate to the Workspace tab. 
# Add an Objective to the Outcome Plan. 
# Click the action menu for the Objective. 
# Issue: The overflow menu is not displaying any actions, the update Completion Details, View Printable Document and Delete actions cannot be accessed by the user.

*Resolution:*
When the property 'curam.actionmenus.max-inline-items.list? is set to 10, overflow actions menus now display correctly on the Objectives list page of an Outcome Plan.

"
