TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-144421,,Resolve the consistency issue with the ESC key so that this works for all combo boxes,CEF,Application Development Environment,Client Development Environment,Infrastructure,"*Issue Description:*
Across the application, multiple user interface components that use IEG combo boxes or code table hierarchies do not respond to the ESC key. This behavior affects various screens and forms that utilise these components, including, but not limited to, application intake, person registration, and other data entry flows. 
The expected behaviour for keyboard users is that pressing the ESC key should clear the selection in a combo box. This is a standard accessibility feature and improves usability for users who rely on keyboard navigation.
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as a caseworker.
# Register a new Person.
# On the person home, click the Applications tab.
# Click the New Application page-level action.
# Check all checkboxes for application names and click Next.
# Navigate to the ?Method of Receipt? field and press the ESC key.
# Issue: The ESC key does not clear the IEG combobox.

*Resolution:*
The ESC key behavior has been standardized across all IEG Combo boxes and code table hierarchies in the application. Pressing ESC clears the selection consistently, improving accessibility and user experience across all relevant screens.
"
SPM-144662,DT037324,Hover state of the shortcut menu option has insufficient contrast with its adjacent colour,CEF,Application Development Environment,Infrastructure,,"*Issue Description:*
The hover color of the section shortcut panel has insufficient contrast with its adjacent background color.
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as a caseworker.
# Navigate to any page with a section shortcut panel.
# Use the mouse to hover over a category or link in the section shortcut panel.
# Issue: The hover color has insufficient contrast with its adjacent color.

*Resolution:*
The hover color of the section shortcut panel has been updated, so that it has sufficient contrast with its adjacent background color.
"
SPM-145280,,Remove the defunct 'ToolsGeneratorsEGToolslibxalan-2.6.0.jar' from the Cúram deliverable,Code Removal,,,,"The following JAR file has been removed from the Cúram deliverable as it is no longer used by the Evidence Generator.
* ToolsGeneratorsEGToolslibxalan-2.6.0.jar

The Evidence Generator uses the xalan JAR file delivered in the CuramSDEJ. 
We recommend that you update any custom scripts and other artifacts to remove references to the JAR file which has been removed above and point to the version in the CuramSDEJ if required."
SPM-145285,,Update the xalan and serializer JAR files to a later version,Third Party Updates,,,,"Xalan-Java (which contains both the Xalan and Serializer JAR files) is an XSLT processor for transforming XML documents into HTML, text, or other XML document types.
The library is used across many different Cúram builds to transform XML documents into other formats required by Cúram.
The version of the xalan and serializer libraries has now been updated from 2.7.2 to 2.7.3-1. The new version contains some defect fixes and minor enhancements. As a result of this upgrade, the following changes have been made to the Cúram deliverable.
* TI/lib/release/third&#95;party&#95;version.properties - the versions of the xalan and serializer JAR files have been updated.
* CuramCDEJlibextjarxalan-2.7.3-1.jar - the version of the JAR file has been updated.
* CuramCDEJlibextjarserializer-2.7.3-1.jar - the version of the JAR file has been updated.
* CuramSDEJlibxalan-2.7.3-1.jar - the version of the JAR file has been updated.
* CuramSDEJlibserializer-2.7.3-1.jar - the version of the JAR file has been updated.
* CuramSDEJxmlserverxalan-2.7.3-1.jar - the version of the JAR file has been updated.
* CuramSDEJxmlserverserializer-2.7.3-1.jar - the version of the JAR file has been updated.

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR files that have been specified above.
"
SPM-145596,,Open Enrollment Period Configuration for 2026,SOL,Income Support HCR,,,"*Issue Description:*
The Open Enrollment Period configuration for 2026 for Insurance Affordability is not available in the application.
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as an administrator.
# Navigate to the Open Enrollment Period under Health Care Reform in the shortcuts panel.
# Issue: No Open Enrollment Period for 2026 is configured.

*Resolution:*
A new Open Enrollment Period configuration for 2026 is now available for Insurance Affordability. The configuration is as follows:
* Start Date: November 1, 2025
* End Date: January 15, 2026
* Coverage Start Date: January 1, 2026  
* Coverage End Date: December 31, 2026

"
SPM-145684,DT037346,The calendar in the date input field displays the wrong format,CEF,,,,"*Issue Description:*
When the date format is set to ?dd/MM/yyyy?, the calendar date input field displays the selected date in the wrong format ('MM/dd/yyyy') when the chosen day is between the 1st and 12th of the month.
*User Interface Impact:* No
*Prerequisites:*
# Open the following files:## /Development/webclient/JavaSource/curam/omega3/ApplicationConfiguration.properties
## /Development/webclient/components/SECCommon/javasource/curam/omega3/ApplicationConfiguration.properties
## /Development/webclient/WebContent/WEB-INF/classes/curam/omega3/ApplicationConfiguration.properties

# Update the following properties to change the date format to be dd/MM/yyyy:## dateformat=dd MM yyyy
## dateseparator=/

# Open /Development/EJBServer/project/properties/Bootstrap.properties
# Update the following properties:## curam.environment.default.dateformat=dd MM yyyy
## curam.environment.default.dateseparator=/

# Run the server, database, and webclient builds.

*Steps to Reproduce:*
# Log in as a caseworker.
# Register a person.
# On the Register Person wizard, navigate to the second page.
# Navigate to a date picker input field and select a date where the day value is the 12th or lower (4th August 2025 or 04/08/2025, for example).
# Close and re-open the date picker.
# Issue: The selected date is being interpreted in ?MM/dd/yyyy? format, and the date picker is now displaying April 8th, 2025, as the selected date.

*Resolution:*
The calendar date input field now correctly displays selected dates in the ?dd/MM/yyyy? format, regardless of the day of the month, when this format is configured.
"
SPM-145699,,Update the version of the commons-jxpath JAR file to the latest,Third Party Updates,,,,"The Commons JXPath is a Java-based implementation of XPath 1.0 that, in addition to XML processing, can inspect/modify Java object graphs (the library's explicit purpose) and mixed Java/XML structures. There are no direct references to the commons-jxpath jar file in the Cúram application. The commons-configuration JAR file has an indirect dependency on commons-jxpath jar.
The versions of this JAR have now been updated from 1.3 to 1.4.0. As a result of this upgrade, the following change has been made in the JDE:
* TI/lib/release/third&#95;party&#95;version.properties - the version of the specified commons-jxpath JAR has been updated.
* CuramCDEJlibextjarcommons-jxpath-1.4.0.jar - version of the JAR updated.

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR file that is specified above.
"
SPM-145708,DT037350,Legend text at the top of pages with mandatory fields is not descriptive,CEF,Application Development Environment,Client Development Environment,,"*Issue Description:*
On a modal or wizard that has a form, the required legend displayed to caseworkers to inform them about mandatory fields is too simplistic and lacks clarity.
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as a caseworker.
# Open the Register Person wizard.
# Navigate to Step 2.
# Issue: Observe the legend text at the top of the dialog. The legend text ?&ast; required field? is overly simplistic and lacks clarity, which can confuse users.

*Resolution:*
Modals and wizards with required input fields display a legend ?&ast; Indicates a required field?. This is more informative to caseworkers and aligns with IEG screens in the application.
"
SPM-145709,,Update the version of the java-jwt JAR file to the latest,Third Party Updates,,,,"The java-jwt library is a Java implementation of JSON Web Token (JWT). It provides a mechanism for creating the JWT token using an algorithm that defines how the token is signed and verified. Cúram uses the java-jwt library for the creation and verification of the JWT token. 
The version of the java-jwt library has now been updated from  4.4.0 to 4.5.0. The new version contains some defect fixes and minor enhancements. As a result of this upgrade, the following changes have been made to the Cúram deliverable.
* CuramSDEJ/lib/third&#95;party&#95;version.properties  - the version of the java-jwt JAR file has been updated.
* CuramSDEJ/lib/java-jwt-4.4.0.jar  - old JAR removed.
* CuramSDEJ/lib/java-jwt-4.5.0.jar  - new JAR added. 

We recommend that you update any references in custom scripts and other artefacts to point to the new version of the JAR file that is specified above.
"
SPM-145742,,Update the version of the xmlunit-core JAR file to the latest,Third Party Updates,,,,"XMLUnit Core provides helper classes to validate generated XML against an XML schema, assert the values of XPath queries or compare XML documents against expected outcomes. It provides a diff engine that offers full control over what kind of difference is required and which part of the generated document to compare against reference documents. It is used to ensure that Dynamic Domain Definitions are loaded correctly in the product.
The version of the xmlunit-core library has now been updated from 2.10.0 to 2.10.3. The new version contains some defect fixes and minor enhancements. As a result of this upgrade, the following changes have been made to the Cúram deliverable.
* CuramSDEJ/lib/xmlunit-core-2.10.3.jar - the version of the JAR file has been updated.
* TI/lib/release/third&#95;party&#95;version.properties - the version of the specified xmlunit-core JAR file has been updated.

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR file that is specified above. 
"
SPM-145790,DT037358,Screen Reader reading Navigation Left & Navigation Right icons which should be hidden,CEF,Application Development Environment,Client Development Environment,Infrastructure,"*Issue Description:*
When a user opens multiple tabs in the application (e.g., Person Search, Employer Search) or reduces the browser size, the navigation tab buttons ('Navigation Left' and ?Navigation Right?) become visible for sighted users to scroll through the tabs. However, these navigation tab buttons may be incorrectly announced by screen readers to non-sighted users when navigating via keyboard.
*User Interface Impact:* No
*Steps to Reproduce: *
*Scenario 1 (Generic):*
# Start a screen reader.
# Log in as a caseworker.
# Register a person and create an integrated case with an associated product delivery.
# Open additional tabs such as Person Search, Employer Search, Investigation Search, etc., until you see the Navigation Left and Navigation Right buttons appear in the Tab Navigation bar.
# Using a screen reader, navigate to the Tab Navigation Menu button.
# Press the down arrow key on your keyboard.
# Issue: Screen reader announces Navigation Left, Navigation Right and then the Application tab. This is confusing for screen reader users as Navigation Left or Navigation Right icons are only for sighted users and should be hidden for non-sighted users.

*Scenario 2:*
# Start a screen reader.
# Log in as a caseworker.
# Register a person and open the Smart Panel.
# Reduce the browser window size until the Navigation Left and Navigation Right buttons appear in the Content Area Navigation bar.
# Using a screen reader, navigate to the Content Area Tab Navigation Menu button.
# Press the down arrow key.
# Issue: Screen reader announces Navigation Left, Navigation Right and then the Content Area Navigation tab. This is confusing for screen reader users as Navigation Left or Navigation Right icons are only for sighted users and should be hidden for non-sighted users.

*Resolution:*
The navigation tab buttons (Navigation Left and Navigation Right buttons) are excluded from the accessibility tree, ensuring they are not announced by screen readers.
"
SPM-145804,DT037359,The household calculation is incorrect for a second pregnancy,SOL,Income Support HCR,Eligibility & Entitlement,,"*Issue Description:*
The household size calculation for Medicaid and CHIP eligibility was incorrect when multiple pregnancy records existed for the same person. The system only considered the first pregnancy record, resulting in an inaccurate household member count during postpartum periods and when new pregnancies were added. This led to incorrect eligibility determinations for both Streamlined Medicaid and CHIP programs.
*User Interface Impact:* No
*Steps to Reproduce: *
*Scenario 1: Streamlined Medicaid*
# Log in as an Insurance Affordability caseworker.
# Register a female person.
# Submit an Insurance Affordability Application with Application Date as Jan 1 of the current year, select Pregnant as yes with 3 children expected, enter Due Date as <Upcoming date within the current year>, set income as none, and submit.
# Apply all evidence and authorize to create a Streamlined Medicaid and Insurance Affordability case.
# Open the Streamlined Medicaid product delivery, click Determinations, and observe that 3 entries for Pregnancy, Post-Partum, and Adult categories.
# Open the Pregnancy evidence, remove the Due Date, set the Received Date, and Pregnancy End Date to <any date before the due date>. Save and apply the evidence changes.
# Refresh Streamlined Medicaid. Four coverage period entries will appear.
# Return to Pregnancy evidence and add a new record with Received Date and Start Date as <Start date for second pregnancy>, Due Date as <Due date for second pregnancy>, and unborn children as 1. Apply the evidence changes.
# Issue: Access the Streamlined Medicaid case and navigate to the Determinations section. Only three entries are displayed. The entry for the second pregnancy incorrectly reflects just one household member, instead of including two household members.

*Scenario 2: CHIP Eligibility And Entitlement*
# Log in as an Insurance Affordability caseworker.
# Register a female person, age 18.
# Submit an Insurance Affordability Application with Application Date as Jan 1 of the current year, mark Pregnant as Yes with 3 children expected, enter Due Date as <Upcoming date within the current year>, select Taxpayer as Yes, add income as $42,000/year, and submit the application.
# Apply all evidence and authorize to create HCR CHIP, Insurance Assistance, and Insurance Affordability cases.
# Access the HCR CHIP link, click Determinations, and verify that two entries are created: one Eligible (with coverage cost) and the other Not Eligible (no household members found eligible).
# Navigate back to the Evidence tab on the Insurance Affordability case and open the Pregnancy evidence in a separate tab.
# Click the Edit link, remove the Due Date, update the Received Date and Pregnancy End Date to <any date before the due date>, then save and apply the evidence change.
# Go back to Pregnancy evidence and add new evidence with Received Date and Start Date as <Start date for second pregnancy>, Due Date as <Due date for second pregnancy>, and Unborn children as 4. Apply the evidence changes.
# Issue: In the HCR CHIP Determinations section, three entries are displayed, but the determination for the second pregnancy is incorrectly shown as Not Eligible.

*Resolution:*
StreamlineMedicaidEligibilityAndEntitlementRuleset.xml  and CHIPEligibilityAndEntitlementRuleset.xml rules have been updated to handle multiple pregnancy records. The system now accurately includes all applicable household members in the determination, reflecting the correct household size for the second pregnancy. 
The following ruleset files have been modified: 
1) EJBServer/components/HCR/CREOLE&#95;Rule&#95;Sets/StreamlineMedicaidEligibilityAndEntitlementRuleset.xml 
2) EJBServer/components/HCR/CREOLE&#95;Rule&#95;Sets/CHIPEligibilityAndEntitlementRuleset.xml 
 The following attributes were modified as part of the fix: 
1) EJBServer/components/HCR/CREOLE&#95;Rule&#95;Sets/StreamlineMedicaidEligibilityAndEntitlementRuleset.xml 
* medicaidFamilySize(attribute modified) 

2) EJBServer/components/HCR/CREOLE&#95;Rule&#95;Sets/CHIPEligibilityAndEntitlementRuleset.xml 
* medicaidFamilySize(attribute modified) 

*Technical:*
The StreamlineMedicaidEligibilityAndEntitlementRuleset.xml and CHIPEligibilityAndEntitlementRuleset.xml rulesets have been updated to properly handle multiple pregnancy evidences for the medicaidFamilySize attribute. Both rule-sets now incorporate improved household calculation logic that properly sums unborn children from all pregnancies. This ensures accurate family size calculations across all pregnancy records, providing more precise eligibility and entitlement determinations for both Medicaid and CHIP programs.
"
SPM-145818,DT037363,Date picker is highlighting the day before the current selected date in the date picker field,CEF,,,,"*Issue Description:*
When the date format is set to ?yyyy-MM-dd? in the Cúram application and the user?s computer is in a time zone behind UTC (Coordinated Universal Time), the calendar in a date input field highlights the day before the selected date.
*User Interface Impact:* No
*Prerequisites:*
# Open the following files:## /Development/webclient/JavaSource/curam/omega3/ApplicationConfiguration.properties
## /Development/webclient/components/SECCommon/javasource/curam/omega3/ApplicationConfiguration.properties
## /Development/webclient/WebContent/WEB-INF/classes/curam/omega3/ApplicationConfiguration.properties

# Update the following properties to change the date format to be yyyy-MM-dd:## dateformat=yyyy MM dd
## dateseparator=-

# Open /Development/EJBServer/project/properties/Bootstrap.properties
# Update the following properties:## curam.environment.default.dateformat=yyyy MM dd
## curam.environment.default.dateseparator=-

# Run the server, database, and webclient builds.
# Set the time zone on the machine to one behind UTC (e.g., UTC -05:00 Eastern Time (US & Canada)).

*Steps to Reproduce:*
# Log in as a caseworker.
# Register a person.
# On the Register Person wizard, navigate to the second page.
# Navigate to and select a date picker input field.
# Issue: The date picker is highlighting the day before the current selected date in the date picker field.

*Resolution:*
When the date format is set to ?yyyy-MM-dd? in the application and the user?s computer is in a time zone behind UTC (Coordinated Universal Time), the calendar in a date input field now correctly highlights the currently selected day when opened.
"
SPM-145831,," Oracle WebLogic Version 14c 14.1.2.0.0 is now supported in Modern Java",Third Party Updates,,,,"*Issue Description:*
Modern Java deployment of the application was not supported in Oracle WebLogic.
*User Interface Impact:* No
*Resolution:*
Modern Java deployment of the application is now supported in Oracle WebLogic Version 14c 14.1.2.0.0."
SPM-145833,,Update the version the commons-beanutils JAR file in TI to the latest version,Third Party Updates,,,,"Apache Commons BeanUtils provides easy-to-use wrappers around the Java Reflection and Introspection APIs. The Java Development Environment (JDE) utilizes this.
The versions of this JAR have now been updated from 1.9.4 to 1.11.0. As a result of this upgrade, the following changes have been made to the JDE deliverable.
* CuramSDEJ/lib/third&#95;party&#95;version.properties - the versions of the specified commons-beanutils JAR have been updated.
* CuramSDEJ/lib/commons-beanutils-1.11.0.jar - new JAR added.
* CuramSDEJ/lib/commons-beanutils-1.9.4.jar - old JAR removed.
* CuramCDEJ/lib/ext/jar/commons-beanutils-1.11.0.jar- new JAR added.
* CuramCDEJ/lib/ext/jar/commons-beanutils-1.9.4.jar - old JAR removed.
* EJBServercomponentsRestscriptrest_properties.xml - the version of the specified JAR file has been updated.

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR file that is specified above.
"
SPM-145857,,Upgrade of BIRT open-source artifacts in Modern Java,CEF,Business Intelligence and Analytics,,,"The Cúram BIRT Viewer is the BIRT Engine infrastructure component which executes BIRT charts and reports. This component wraps the open source BIRT Engine and is a Java Platform, Enterprise Edition application. 
A number of changes have been made to the Cúram BIRT Viewer deliverable in Modern Java, including the updating of a JAR file to a more recent version and the removal of a number of JAR files and plugins which were defunct and not required for the viewing of the BIRT reports delivered and utilized by the Cúram application. 
The changes include the following:
* CuramBIRTViewerWebContentWEB-INFlibaxis.jar - the version of this JAR file has been updated to org.apache.axis&#95;1.4.1.v20231107-0937.jar.
* CuramBIRTViewerWebContentWEB-INFlibaxis-ant.jar - this JAR file has been removed.
* CuramBIRTViewerWebContentWEB-INFlibsaaj.jar - this JAR file has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.apache.derby&#95;10.11.1.1&#95;v201605202053.jar - this JAR file has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.datatools.enablement.mysql.dbdefinition&#95;1.2.1.201712071719.jar - this JAR file has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.datatools.enablement.postgresql.dbdefinition&#95;1.2.1.201712071719.jar - this JAR file has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.datatools.enablement.postgresql&#95;1.3.1.201712071719.jar - this JAR file has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsorg.eclipse.birt.report.data.oda.excel&#95;4.8.0.v201806261756.jar - this JAR file has been removed.
* CuramBIRTViewerWebContentWEB-INFplatformpluginsuk.co.spudsoft.birt.emitters.excel&#95;4.8.0.v201806261756 - this complete directory has been removed. This includes the removal of the following JAR files:
* dom4j-1.6.1.jar
* xmlbeans-2.3.0.jar

We recommend that you update or remove any references in custom scripts and other artifacts to the JAR files that are specified above.
"
SPM-146002,DT037380,"In the development environment, the process of serializing and deserializing Modern Java Money objects is not functioning as expected.",CEF,Application Development Environment,Financials,Infrastructure,"*Issue Description:*
When adding a new account adjustment under a person?s Financial Transactions tab in the Modern Java Eclipse development environment, an HTTP 500 Internal Server Error is thrown.
*User Interface Impact:* No
*Steps to Reproduce:*
# Start up Cúram in Eclipse/Tomcat.
# Log in using RestLoginClient as caseworker/password.
# Register a new person, or use an existing person record.
# On the person home page, click the Financial Transactions tab.
# Click New Account Adjustment.
# Enter any data, for example, set the amount to 1000 and leave the other fields as default. 
# Click Save.
# Issue: An HTTP 500 Internal Server Error occurs. Expected behavior: The new account adjustment should complete successfully.

*Resolution:*
Updated (de)serialization handling for _curam.util.type.Money_ to ensure proper processing in Modern Java.
"
SPM-146029,,Update the version of guava to latest version in Modern Java,Third Party Updates,,,,"*Issue Description:*
Google Guava is an open source set of core libraries for the Java platform released by Google under the Apache License. The version of Google Guava used in the Cúram product has been updated from 31.1-jre to 33.3.1-jre in Modern Java.
As a result of this upgrade, the following change has been made in the Server Java Development Environment deliverable.
* guava.jar (updated from 31.1-jre to 33.3.1-jre).

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR file specified above.
"
SPM-146030,,Update to latest version of okio in Modern Java,Third Party Updates,,,,"*Issue Description:*
Okio is a library that complements java.io and java.nio, simplifying data access, storage, and processing. It is released under an Apache license and included as part of Axis2 support for Web Services in Modern Java.
The version of Okio used in the Cúram product has been updated from 2.10.0 to 3.16.0.
We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR file above.
"
SPM-146129,DT037388,Event on the ProductDeliveryLifeCycleEvents class is not called when a product delivery is activated in batch,ENT,Integrated Case Management,,,"*Issue Description:*
When a product delivery is activated via the DetermineProductDeliveryActivation batch process, the appropriate post-activation event, postProductDeliveryActivation(), inside ProductDeliveryLifeCycleEvents, is not invoked. The event is being called when a case is activated online. 
The same is true of the post-closure event, postProductDeliveryClosure(), on the ProductDeliveryLifeCycleEvents class. This is invoked when a product delivery is closed online, but isn?t invoked as part of the CloseCasesPendingClosure batch process.
*User Interface Impact:* No
*Prerequisites:*
# Provide sample implementations of the following events - this could even be something as simple as a system out to demonstrate that the event is being raised:## ProductDeliveryLifeCycleEvents.postProductDeliveryActivation()
## ProductDeliveryLifeCycleEvents.postProductDeliveryClosure()

# Ensure the sample implementation(s) are bound in a module class.

*Steps to Reproduce (Generic): *
*Post-Activation Event (Testing in Eclipse):*
# Log in as a caseworker using the RMILoginClient utility.
# Register a new Person.
# Create a new integrated case.
# Add the necessary evidence and activate it.
# Create an associated product delivery.
# Add certification, if applicable.
# Submit, approve and activate the product delivery online.## You should see the system out written to the console of the IDE.

# Create another associated product delivery, and add certification if necessary.
# Log in as a system administrator.
# Click Processes under Batch in the shortcuts panel.
# Search for the ?Determine Product Delivery Eligibility? batch process and execute it.
# Run the batch launcher locally.
# Issue: Check the logs; there is no system out from the sample implementation of the post-activation event.

*Post-Closure Event (Testing in Eclipse):*
#  Log in as a caseworker using the RMILoginClient utility.
#  Register a new Person.
#  Create a new integrated case.
# Add the necessary evidence and activate.
# Create an associated product delivery.
# Add certification, if applicable.
# Close the product delivery with today?s date.## You should see the system out written to the console of the IDE.

# Create another associated product delivery, and add certification if necessary.
# Now, close the new product delivery with a future date. ## The product delivery now has a status of ?Pending Closure?.

# Log in as a system administrator.
# Click Processes under Batch in the shortcuts panel.
# Search for the ?Close Cases Pending Closure? batch process.
#  Specify the ?processingDate? parameter as the date you specified when closing the case.
# Execute the batch process.
# Run the batch launcher to run the batch job locally.
# Issue: Check the logs; there is no system out from the sample implementation of the post-closure event.

*Resolution:*
The post-activation and post-closure events are now called by the relevant batch, as well as online processes, thereby making the flows consistent regarding the raising of these events.
"
SPM-146203,,Update the certified version of Apple VoiceOver and Chrome for tablet accessibility,Third Party Updates,,,,The certified version of Apple VoiceOver is now updated to iOS 26.1 This is certified against Chrome 142. 
SPM-146209,,Updates to supported browser versions,Third Party Updates,,,,"The following browser versions are now updated and certified for this release.
Caseworker Application Browser Support
* Google Chrome is updated to 142
* Microsoft Edge is updated to 142

Universal Access Application Browser Support
* Google Chrome is updated to 142
* Microsoft Edge is updated to 142
* Mozilla Firefox is updated to 144
* Apple Safari is updated to 26

"
SPM-146273,,Update the version of the commons-fileupload JAR file to the latest version,Third Party Updates,,,,"The Apache Commons FileUpload API enables file upload capabilities in Java EE web applications.
It is used in the Cúram application for that purpose. It is also part of the Cúram Axis 2 web services deliverable.
The version of the commons-fileupload JAR that is used by Cúram has now been updated from 1.5 to 1.6 in the Axis 2 deliverable and JDE deliverables. This new JAR file contains some minor bug fixes and enhancements.
As a result of this upgrade, the following changes have been made to the Cúram deliverable.
* CuramSDEJlibthird&#95;party&#95;version.properties - the version of the commons-fileupload JAR file has been updated.
* CuramSDEJxmlserverthird&#95;party&#95;version.properties - the version of the commons-fileupload JAR file has been updated.

The changes to the commons-fileupload JAR file include:
* CuramSDEJ/lib/axis2/commons-fileupload-1.6.jar - version updated from 1.5 to 1.6 .
* CuramCDEJ/lib/ext/jar/commons-fileupload-1.5.jar - version updated from 1.5 to 1.6 .

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR file that is specified above.
"
SPM-146457,,Updates to the versions of MS Word supported for the Microsoft Word Integration feature,Third Party Updates,,,,"The following changes have been made to the Microsoft Word version support for the Microsoft Word Integration feature in Cúram.
* Support for Microsoft Word for Microsoft 365 (included in Microsoft 365 Apps for enterprise) has been added.
* Support for Microsoft Word 2021 and future fix packs is being maintained.

This means that the Microsoft Word versions supported for Cúram 8.2.1.0 are as follows:
* 2021 and future fix packs.
* Microsoft Word for Microsoft 365 (current channel and future updates).

"
SPM-146515,,File Downloads via REST API may now require Accept header after Jackson JAX-RS Provider Upgrade,Third Party Updates,,,,"*Issue Description:*
Following the upgrade to the Jackson JARs from version 2.15.2 to 2.19.2, an error is being thrown when making REST API calls for file downloads that contain binary data (Blob objects).
*User Interface Impact:* No
*Steps to Reproduce:*
# Upload a blob file (like an image) via a File Upload API e.g. {{/v1/dbs/files}}
# Attempt to get File Contents via API e.g. {{/v1/dbs/files/:fileId}} without specifying an Accept header
# Issue: An InvalidDefinitionException is thrown: {{InvalidDefinitionException: No serializer found for class curam.util.type.Blob}}

*Resolution:*
Ensure the correct {{Accept}} header is provided for API calls when downloading binary files:
{noformat}GET /v1/dbs/files/:fileId
Accept: application/octet-stream{noformat}

*JavaScript/Fetch API:*
{noformat}fetch('/v1/dbs/files/123', {  
  headers: {
    'Accept': 'application/octet-stream'
  }
}){noformat}

*cURL:*
{noformat}curl -H """"Accept: application/octet-stream"""" /v1/dbs/files/123{noformat}

*Java HTTP Client:*
{noformat}HttpRequest request = HttpRequest.newBuilder()
    .uri(URI.create(""""/v1/dbs/files/123""""))
    .header(""""Accept"""", """"application/octet-stream"""")
    .build();{noformat}"
SPM-146518,,The provider management Navigator Non Secure fails to load properly,SOL,Provider Management,,,"*Issue Description:*
In Cúram v8.2, the Navigator Non Secure portal under Provider Management fails to load properly.
*User Interface Impact:* No
*Steps to Reproduce:*
# Navigate to the NavigatorNS Portal.
# Issue: The Navigator Non Secure portal fails to load. A FailedLoginException can be seen in the server logs.

*Resolution:*
The NavigatorNS portal now logs in successfully.
"
SPM-146534,,Referer header domain name was not being validated,CEF,,,,"*Issue Description:*
Due to a minor issue in the Referer header domain validation, one of the wildcards in the domain names was not validated correctly. 
*User Interface Impact:* No
*Resolution:*
The Referer header domain name validation logic for both REST and Cúram applications has been improved to address this issue."
SPM-148060,,BIRT charts were occasionally not loading on startup,CEF,Business Intelligence and Analytics,,,"*Issue Description:*
BIRT charts were occasionally not loading on startup.
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as a caseworker.
# On the home page, check the Caseload Summary pod.
# Issue: The Caseload Summary pod chart occasionally fails to display and appears blank. 

*Resolution:*
A warm-up call was added so that the first time a BIRT chart is loaded, it initializes properly. Charts now display as expected.
"
SPM-148166,,"When the 'Enable Localized Currency Symbol Placement' property is set to false, numerical amounts are converted to the Arabic locale in the Modern Java build",Look and Feel,,,Infrastructure,"*Issue Description:*
Modern Java is configured by default to use the Common Data Local Repository (CDLR) for the formatting and processing of locale-dependent values. [https://openjdk.org/jeps/252] describes this support. It is a more robust and correct handling of dates, times, currencies, languages, countries, and time zones based on locale compared to the previous default native handling in Java 8. Visually, the update represents changes in how values are formatted and presented in the User Interface. 
Example: for locale=ar, values containing digits will be shown as Arabic-Indic digits, not Latin-based digits as was previously the case.
*User Interface Impact:* No"
SPM-148400,,Support has been added for the usage of an Open JDK for running the XML Server and Batch Processing,CEF,Technical Services,,,"The Cúram Batch Launcher and XML Server are designed to be run as standalone Java® programs outside of an Application Server. 
While every effort is made to ensure that these Java® programs are compatible with all JREs, only the JREs listed below are officially supported.
* Adoptium OpenJDK 8 and future fix packs for Cúram Java 8.
* IBM Semeru OpenJDK 21 and future fix packs for Cúram Modern Java.

Please refer to the 8.2.1.0 Cúram software prerequisites for details of this support.
"
SPM-148525,DT037430,Insufficient documentation on parameters for improving batch performance,Product Documentation,,,,"*Issue Description:*
Currently, there is insufficient documentation on the parameters used in streamed batch processes, which prevents customers from fine-tuning performance when batch processes fail to complete within the expected timeframe. The parameters in question are:
# curam.batch.streams.batchprocessreadwaitinterval
# curam.batch.streams.chunkkeyreadwaitinterval
# curam.batch.streams.scanforunprocessedchunkswaitinterval 
# *.unprocessedchunkwaitinterval

*User Interface Impact:* No
*Steps to Reproduce:*
# Schedule and run a streamed batch process.
# Issue: If chunks are not completing within 1?2 minutes, what configuration settings can customers adjust to improve performance?

*Resolution:*
The _Curam Batch Performance Mechanism_ guide has been updated to include additional information on the four batch parameters listed above.
"
